content,predicted_language,confidence_score
Trump yizeye guhura na Perezida Kagame na Tshisekedi mu byumweru biri imbere,id,1.0
Imaramatsiko ku ifoto y’ingabo za RPA yafashwe nyuma yo gufata Umujyi wa Kigali,sw,1.0
Impamvu 10 zituma Abanyarwanda badashamadukira umunsi w’Ubwigenge,id,1.0
Iran yari yivuganye uwahoze ari Umunyamabanga wa Amerika,sw,1.0
FDLR na FARDC babanye amezi atandatu mu kigo i Sake - Ubuhamya bwa Ntawiheba wahoze muri CRAP,sw,1.0
"Ni inkuru nziza ku karere- Uko Macron, Zelensky n’abandi bakiriye amasezerano y’u Rwanda na RDC",sw,1.0
Perezida Trump yakiriye Nduhungirehe na Kayikwamba nyuma yo gusinya amasezarano y’amahoro,sw,1.0
"Ibikorwaremezo byarubatswe, ubuhinzi butezwa imbere: Uko ingengo y’imari ya 2024/2025 yakoreshejwe",sw,1.0
U Rwanda rwiteguye gucyura abaturage barwo bari muri Israel na Iran,id,1.0
Imyaka itatu u Rwanda na RDC bidacana uwaka; imwe mu mishinga yabihuzaga yadindiye,sw,1.0
Urugamba rw’Inkotanyi n’uko yamenye Perezida Kagame na Rwigema; Umunyamakuru Charles Onyango Obbo,id,1.0
Minisitiri Nduhungirehe yavuze ibisabwa kugira ngo amasezerano y’u Rwanda na RDC asinywe,sw,1.0
U Buhinde bwavuze aho buhagaze ku bibazo by’u Rwanda na RDC,sw,1.0
Minisitiri Nduhungirehe yagaragaje igishobora kubangamira ibiganiro by’u Rwanda na RDC,tl,1.0
Minisitiri Nduhungirehe yagaragaje ko Tshisekedi adakwiye gukerensa imbaraga za FDLR ziyongera,sw,1.0
Ingimbi n’abangavu 600 b’i Kigali bivuje indwara zo mu mutwe mu mwaka umwe,sw,1.0
U Rwanda ruhanze amaso uburyo bushya bwo gupimira rimwe indwara eshatu zikunze kuzahaza abagore batwite,sw,1.0
U Rwanda rwatangiye gushaka umuti mushya urinda SIDA ufatwa kabiri mu mwaka,sw,1.0
U Rwanda rwifuza ko ’ambulance’ imwe izajya iha serivisi abantu ibihumbi 30,sw,1.0
Ibitaro by’amaso byo mu ndege bigiye gutangira gukorera mu Rwanda,tl,1.0
U Rwanda rugiye kunguka abaforomo barenga 400 bize ayisumbuye,sw,1.0
Abivuriza muri CARAES Ndera barenze ibihumbi 100 (Video),ro,1.0
Hazabagwa abongeresha ikibuno n’amabere: KFH yashyizeho icyumweru cyahariwe ‘Plastic surgery’,sw,1.0
Icyiciro cya kane cya gahunda yo guteza imbere ubuvuzi cyasize hubatswe ibitaro 4 n’ibigo nderabuzima 12,sw,1.0
Ibiza by’umukungugu n’umucanga byica abantu miliyoni 7 ku mwaka,sw,1.0
Ibyo wamenya kuri Parasomnia itera kurota umuntu agenda cyangwa avuga,id,1.0
Ibyo wamenya kuri Sleep Apnea ishobora gutuma uhera umwuka usinziriye: Ikiganiro na Dr. Fentahun wo muri Baho,sw,1.0
"Ubuhamya bw’umugabo wongeresheje indeshyo ye, akava kuri metero 1,71 akagera kuri 1,95",sw,1.0
CHUK yahawe ‘Ultrasound’ igezweho isuzuma ibibazo byose umwana uri mu nda afite,sw,1.0
"Umwihariko wa Moods, Coverex, Armour, Innotex na Durex; udukingirizo dukoreshwa cyane mu Rwanda",sw,1.0
