content,predicted_language,confidence_score
ነጋድራስ የኢትዮጵያ ንግድ ባንክ የሥራ ፈጠራ ውድድር,amh,0.9998589754104614
ትምህርትና ስልጠና ማዕከል,amh,0.9998345375061035
ትላልቅ ዓለም አቀፍ ኮንፍረንሶችን ያመጣው የኢትዮጵያ ዲፕሎማሲ,amh,0.9998582601547241
ጣናነሽ ሁለትን ከጅቡቲ እስከ ባሕር ዳር ድረስ በመኪና እድትጓዝ የተደረገበት ምክንያት ምንድን ነው?,amh,0.99986732006073
ብራዚልን ያስመነደጓት ሉላ ዳሲልቫ,amh,0.9998667240142822
ከ18 እና ከ20 አመት በታች የአፍሪካ አትሌቲክስ ሻምፒዮና ዛሬ ይጀመራል,amh,0.999875545501709
ጣናነሽ ሁለትን ከጅቡቲ እስከ ባሕር ዳር ድረስ በመኪና እድትጓዝ የተደረገበት ምክንያት ምንድን ነው?,amh,0.99986732006073
ለሽብር ተልዕኮ የተመለመሉ 82 የአይ ኤስ አባላት በቁጥጥር ስር መዋላቸውን የብሔራዊ መረጃና ደኅንነት አገልግሎት አስታወቀ,amh,0.9998624324798584
አረንጓዴ አሻራ የምግብ ዋስትናን የምናረጋግጥበት አንዱ መንገድ ነው- ርዕሰ መስተዳድር አወል አርባ,amh,0.9998706579208374
የኤሌክትሪክ መሰረተ ልማት ስርቆት የማይቋረጥ አገልግሎት ለመስጠት የሚደረገውን ጥረት እያስተጓጎለው ነው የኢትዮጵያ የኤሌክትሪክ አገልግሎት,amh,0.9998713731765747
ኢትዮጵያ ሻምፒዮን የሆነችበት 8 ሺህ ኪሎ ሜትር የሚሸፍነው የአፍሪካ አረንጓዴ ግድግዳ,amh,0.9998681545257568
ከ2500 በላይ ልዑካን በአዲስ አበባ የአፍሪካ የአየር ንብረት ለውጥ ጉባኤ ላይ ይሳተፋሉ,amh,0.999870777130127
ኢትዮጵያ በስንዴ ልማት ያስመዘገበችው ስኬት የአፍሪካ ዕድገት እውን እንደሚሆን ሁነኛ ማሳያ ነው ኦሊሴጉን ኦባሳንጆ,amh,0.999868631362915
በሶማሊያ ከ30 አመታ በኋላ በተካሄደው ታሪካዊው የእግርኳስ ጨዋታ የኢትዮጵያ አየርመንገድ ሚና ምንድን ነው?,amh,0.999866247177124
ለ1.5 ሚሊዮን ሰዎች የስራ ዕድል የፈጠረውና በ1 ሚሊዮን ሮቦቶች የሚታገዘው አማዞን ኩባንያ,amh,0.9998619556427002
በጃፓን እና ህንድ ማቀዝቀዣ ያላቸው ጃኬቶች ፍላጎት ለምን ጨመረ?,amh,0.9998674392700195
ከጓሮ አትክልት ከኩሬ አሳ ከበረት ከብቶች የማያጡት የቪየትናም ነዋሪዎች,amh,0.999868631362915
ወላጆች በጉርምስና የእድሜ ክልል ውስጥ ከሚገኙ ልጆች ጋር የሚኖራቸው ግንኙነት ምን መምሰል አለበት?,amh,0.9998761415481567
የማንኮራፋት ችግር እንቅልፍ ማሳጣት ብቻ አለመሆኑን ያውቃሉ?,amh,0.9998809099197388
ክረምቱን ልጆችዎ የት እንዲያሳልፉ አስበዋል?,amh,0.9998416900634766
ከጊዜ በኋላ ያጋጠማትን የአካል ጉዳት እና የእናቷን ኀዘን ተቋቁማ ስኬታማ የሆነችው ወጣት,amh,0.9998561143875122
የኢትዮ - አሜሪካ ግንኙነት ከየት ወዴት?,amh,0.9998787641525269
በክልሉ ያልተቋጨውን ሕግ የማስከበር ሥራ ለማጠናቀቅ መንግሥት ዝግጅት አድርጓል የአማራ ክልል ብልጽግና ፓርቲ ቅርንጫፍ ጽሕፈት ቤት,amh,0.9998663663864136
የብልጽግና ፓርቲ ማዕከላዊ ኮሚቴ ስብሰባ ተጀመረ,amh,0.999882698059082
ብልፅግና ፓርቲ በዘላቂ ሰላም ግንባታና አካታች ልማት ስኬቶችን አስመዝግቧል - ምክትል ጠቅላይ ሚኒስትር ተመስገን ጥሩነህ,amh,0.9998703002929688
የኢትዮጵያ ባንኮች በአህጉር አቀፍ ደረጃ ተወዳዳሪ ለመሆን መዋሃድ ይጠበቅባቸዋል- የምጣኔ ሃብት ባለሙያዎች,amh,0.9998706579208374
ከ1.7 ቢሊዮን ብር በላይ የያዙት የፋይናንስ ምርመራ ውጤቶች,amh,0.9998667240142822
939 ሚሊዮን ብር ግምታዊ ዋጋ ያላቸው የኮንትሮባንድ ዕቃዎች በቁጥጥር ስር ዋሉ,amh,0.9998650550842285
ባለፉት ሥድስት ወራት ከ2 ሚሊዮን በላይ የንግድ ምዝገባ እና ዕድሳት አገልግሎት በኦንላይን ተሰጥቷል- የንግድና ቀጠናዊ ትስስር ሚኒስቴር,amh,0.9998716115951538
ከአነስተኛ የሩዝ መሸጫ መደብር የተነሳው ግዙፉ ሳምሰንግ ኩባንያ,amh,0.999855637550354
