content,predicted_language,confidence_score
"What the title says. Preferably something like this one  
Help! And thank you!",en,1.0
"Hey guys! I’ve been thinking—are there any words in Yoruba that don’t really have a translation or anything like them in other languages? Like, unique words that really capture something special about the culture or language? For example, in German, there’s “Schadenfreude” which means feeling happy about someone else’s misfortune—there’s no exact English word for that. I’d love to hear if Yoruba has anything like that!",en,1.0
"Hello,

Báwo ni - - - How are you doing. 

Today, let's look at some of our subject Pronouns. 

Let's note the difference in pronouncing the ""You and he/she /it for younger people. 

I - - - - Mo 

Mo fẹ́ jẹun - - I want to eat. 

O (flat tone). - - - - You (younger person). 

O fẹ́ sùn - - You want to sleep. 

Ẹ - - - - - - - You (Older person and plural). 

Ẹ fẹ́ jẹun - - You want to eat. 

Ó (High tone). - - - - - He/she/it (Younger person). 

Ó fẹ́ jẹun. - - He/She wants to eat. 

Wọ́n (High tone ). - - - He/She (older person). 

Wọ́n fẹ́ sùn - - He/She wants to sleep. 

Wọ́n - - - They. 

A---------We. 

Your Yorùbá tutor. 

Adéọlá",en,1.0
"Everything will be easy for us in this month. . 

Ohun gbogbo á rọrùn fún wa nínú oṣù yìí",en,1.0
"Bawo ni, how do you guys think i could learn my dialect (Ekiti) now that I'm fluent in standard Yoruba?",en,1.0
"Hello everyone,

I’m trying to find the most accurate or culturally appropriate Yoruba phrase for “Created in Heaven.” I’ve been told by my Yoruba-speaking parents that there isn’t a direct translation for this phrase because Yoruba is a context-heavy language, and certain concepts like “heaven” don’t always map directly the way they do in English. 

Still, I want to get as close as possible to the meaning behind “Created in Heaven” something that captures the idea of divine origin, uniqueness, or being spiritually crafted.

As of right now I have this phrase, “Àkàndá Olórun (God’s specially made creation)” which was given by my parents and I’m settling on for now but I would love any other or closer translations for created in heaven. Thank you",en,1.0
"Hi everyone, I'm trying to better understand and document the Yoruba counting system. I'd really appreciate if the group can review this table and highlight any errors. I've struggled to find consistent information online. There are usually random differences in where the tonal marks are placed, depending on the source.",en,1.0
"Hello, 

How are you doing today,

So let's digress a little bit  and learn how to introduce ourselves in Yorùbá. 

So when you want to introduce yourself to someone, , you will always start with:

The name - - - orúkọ 

1. Orúkọ mi ni (Add your name). My name is---
My name is Adéọlá 

If you have a nick name or how you want your name to be called. 

2. Ó lè pè mí ní Adé. - - You can call me Adé.

3. Mò ń gbé ní - - - - I am living in/at. 

4. Mò ń ṣiṣẹ́ ni------I am working at?. 

5. Mo fẹ́ràn láti jẹ - - - - I love to eat?. 

You can add different words  in the space 

We will go to how you also ask someone few questions. 

Do you understand?. 

Your Yorùbá tutor. 

Adéọlá.",en,1.0
"What does the word «Baba» in yoruba mean? Yes we all know it means «Father» but did you know that the word «ba» from «Baba» can have so many different meanings! It can mean to spank, chastise, protect, to land, and etc. Because the word «ba» in yoruba has so many different meanings, when you call your father «Baba» you are telling him that he is your: protector, teacher, helper, and etc. So when you say «Baba, mo fẹran rẹ» Know that that word is deeper than it seems. Ẹ jẹ ka sọ Yoruba oo!

Kini tunmọ si ti ọrọ «Baba» ni èdè Yoruba? Bẹẹ ni, awa mọ tunmọ si ti ọrọ Baba bi Baba ti ọmọ tabi ọmọdé ṣugbọn se ẹ ti mọ pé ọrọ «ba» lati ọrọ «Baba» le ni orisirisi tunmọ si! Ti awa n ba n sọ ba, tunmọ si le jẹ: «Emi n ba won ja» (I am fighting against them), «Ole n ba ninu igbẹ» (The thief is hiding in the bus) «Adiẹ ba le awon ọmọ rẹ» (The chicken hen broods over her young), «Ẹhin rẹ ba» (His back is bent), «Emi ni iba lọ» (I ought to have gone), «Ẹyẹ méji ba lori igi» (Two birds are perching on the tree). Nitori pé ọrọ «ba» ni èdè Yoruba ni oriṣiriṣi itunmo, nigba e n pè baba re, «Baba» o n sọ fun o pé o wa ẹni ti n dabobo re, ẹni ti n kọ o, bi olukọ, ẹni ti n ran o lọwọ, ati orisirisi ohun. Ti awa n ba n sọ «Baba, mo fẹran rẹ.» Ẹ mọ pé ọrọ yii jin jin ju ẹ n ro. Ẹ jẹ ka sọ Yoruba oo!",en,1.0
"Hello, 

Báwo ni, 

How is the weekend going with you?.

In my last post, I explained the use of Particles ""tí and ti. 

Today, let's explain the particles"" Ní and ni""

Ní - (High tone) - - - 

To show possession (has/have). 

Mo ní bàtà méjì - - - I have two shoes. 

Mo ní aṣọ mẹ́ta - - - - I have three clothes. 

To show location. 

Mo wà ní yàrá - - - - I am in the room. 

Ó wà ní ilé - - - - He/She is at home. 

To show the time of an action. 

Mo máa rí ẹ ní ọ̀la - - I will see you tomorrow. 

Ni(Flat tone). 

For introduction 

Orúkọ mi ni Adéọlá. - - - My name is Adéọlá. 

Òun ni ọ̀rẹ́ mi----He is my friend. 

For asking Questions 

Kí ni ó fẹ́ - - - what do you want. 

Mélòó ni----How many?. 

We use the short form of  expression most times, so it may be difficult to really capture the use of (Ní or ni) in them.

Do you understand?. 

Your Yorùbá tutor. 

Adéọlá.",en,1.0
