Text,Language ,Topic
ነጋድራስ የኢትዮጵያ ንግድ ባንክ የሥራ ፈጠራ ውድድር,Amahric,Businuess
ትምህርትና ስልጠና ማዕከል,Amahric,Education
ትላልቅ ዓለም አቀፍ ኮንፍረንሶችን ያመጣው የኢትዮጵያ ዲፕሎማሲ,Amahric,Businuess
ጣናነሽ ሁለትን ከጅቡቲ እስከ ባሕር ዳር ድረስ በመኪና እድትጓዝ የተደረገበት ምክንያት ምንድን ነው?,Amahric,Transport
ብራዚልን ያስመነደጓት ሉላ ዳሲልቫ,Amahric,other
ከ18 እና ከ20 አመት  በታች  የአፍሪካ  አትሌቲክስ  ሻምፒዮና  ዛሬ ይጀመራል,Amahric,Sport
ጣናነሽ ሁለትን ከጅቡቲ እስከ ባሕር ዳር ድረስ በመኪና እድትጓዝ የተደረገበት ምክንያት ምንድን ነው?,Amahric,Transport
ለሽብር ተልዕኮ የተመለመሉ 82 የአይ ኤስ አባላት በቁጥጥር ስር መዋላቸውን የብሔራዊ መረጃና ደኅንነት አገልግሎት አስታወቀ,Amahric,Poltics
አረንጓዴ አሻራ የምግብ ዋስትናን የምናረጋግጥበት አንዱ መንገድ ነው፡- ርዕሰ መስተዳድር አወል አርባ,Amahric,other
የኤሌክትሪክ መሰረተ ልማት ስርቆት የማይቋረጥ አገልግሎት ለመስጠት የሚደረገውን ጥረት እያስተጓጎለው ነው፦ የኢትዮጵያ የኤሌክትሪክ አገልግሎት,Amahric,other
ኢትዮጵያ ሻምፒዮን የሆነችበት 8 ሺህ ኪሎ ሜትር የሚሸፍነው የአፍሪካ አረንጓዴ ግድግዳ,Amahric,Sport
ከ2500 በላይ ልዑካን በአዲስ አበባ የአፍሪካ የአየር ንብረት ለውጥ ጉባኤ ላይ ይሳተፋሉ,Amahric,Weather
ኢትዮጵያ በስንዴ ልማት ያስመዘገበችው ስኬት የአፍሪካ ዕድገት እውን እንደሚሆን ሁነኛ ማሳያ ነው፦ ኦሊሴጉን ኦባሳንጆ,Amahric,other
በሶማሊያ ከ30 አመታ በኋላ በተካሄደው ታሪካዊው የእግርኳስ ጨዋታ የኢትዮጵያ አየርመንገድ ሚና ምንድን ነው?,Amahric,Sport
ለ1.5 ሚሊዮን ሰዎች የስራ ዕድል የፈጠረውና በ1 ሚሊዮን ሮቦቶች የሚታገዘው አማዞን ኩባንያ,Amahric,other
በጃፓን እና ህንድ ማቀዝቀዣ ያላቸው ጃኬቶች ፍላጎት ለምን ጨመረ?,Amahric,Businuess
ከጓሮ አትክልት፣ ከኩሬ አሳ፣ ከበረት ከብቶች የማያጡት የቪየትናም ነዋሪዎች,Amahric,other
