content,predicted_language,confidence_score
Mo ṣetán láti gbọ́ àwíjàre àwọn akẹ́kọ̀ọ́ Poly Ibadan tó ń ṣèwọ́dé lórí ayípadà orúkọ ilé ẹ̀kọ́ náà - Makinde,vi,1.0
Kò ṣe é má gbọ̀ ọ́,vi,1.0
Orílẹ́èdè Morocco ń gbaradì láti di ibùdó alágbára lẹ́ka eré bọ́ọ̀lù àfẹsẹ̀gbá,hu,1.0
Ìdí tí ẹgbẹ́ tó ń rí si ọ̀rọ̀ ilẹ̀ Africa àti àwọn alátìlẹyìn Ibrahim Traore fi kéde ìdìtẹ̀gbàjọba òfegè,vi,1.0
"Fídíò, Ìtàn tó rọ̀ mọ́ orúkọ Kòbọmọjẹ́ ní Ibadan àti ìdí tí àṣà dídá abẹ́ f'ọmọbìnrin ṣe dohun ìgbàgbé ní agboolé náà, Duration 6,48",vi,1.0
"Ìwádìí ìjìnlẹ̀ rèé nípa Ìjàpá, bó ṣe ń ní ìmọ̀lára àyíká rẹ̀, bó ṣe ń dunnú tàbí gbèrò ohun rere bí èèyàn",vi,1.0
Ìlú kan rèé ní Nàíjíríà níbi tí èèyàn àti ẹranko tí ń pín omi odò mu torí ọ̀dá omi,cs,1.0
"Afurasí agbésùnmọ̀mí Lakurawa ṣekúpa ọlọ́pàá mẹ́ta ní Kebbi, agbébọn 400 kojú ọmọ ogun",vi,1.0
Àwọn ọ̀rọ̀ àti ìṣesí ààrẹ Buhari tó dá awuyewuye sílẹ̀ lásìkò ìjọba rẹ̀,vi,1.0
"Fídíò, Ìwà kí obìnrin kan bá obìnrin míràn gbé òyún-bímọ̀ di okoòwò ńlá, òfin wo ló tì í lẹ́yìn?, Duration 1,23",vi,1.0
Gbogbo nnkan tó yẹ kí o mọ̀ nípa ìrìnàjò Muhammadu Buhari láti kékeré títí tó fi kú,hu,1.0
NAPTIP kéde pé àwọn n wá Speed Darlington fún ẹ̀sùn hihu ìwá kòtọ̀ọ́ pẹ̀lú ọmọdé,vi,1.0
"Ìgbéyàwó wú mi, kódà, mo tọrọ ọkọ ní Mecca, àmọ́ dandan kọ́ ni ọkọ níní, tó bá wá ni - Bukky Wright",vi,1.0
Mo pàdánù àkọ́bí mi nítorí àìrí owó ilé ìwòsàn - Ibrahim Chatta,vi,1.0
"Thomas Partey, agbábọ́ọ̀lù Arsenal tẹ́lẹ̀ di èèrò ilé ẹjọ́ nítorí ẹ̀sùn ìfipábánilòpọ̀",vi,1.0
"Ilé ẹjọ́ ní nọ́ọ̀sì tó fún Mohbad lábẹ́rẹ́ gbọdọ̀ jẹ́jọ́, bu ẹnu àtẹ́ lu Wumi àti bàbá olóògbé",vi,1.0
"Àlàfo wo ni ikú Ààrẹ tẹ́lẹ̀, Muhammadu Buhari yóò fi sí agbo òṣèlú ní Naijiria?",vi,1.0
"Ṣé lóòótọ́ ni agbébọn jí ẹ̀ṣọ́ Àmọ̀tẹ́kùn mẹ́fà gbé n'Igboho, tí wọ́n tún pa lára wọn?",vi,1.0
"Akẹ́kọ̀ọ́ tó gba máàkì 375 rugi oyin, àjọ Jamb ṣàlàyé ìdí tí kò lè fi rí fásitì wọ̀ àti ojúṣe àwọn akẹ́kọ̀ọ́ lásìkò ìdánwò",vi,1.0
"Orin, Kò ṣe é má gbọ̀ ọ́, Duration 1,02",vi,1.0
