content,predicted_language,confidence_score
ነጋድራስ የኢትዮጵያ ንግድ ባንክ የሥራ ፈጠራ ውድድር,unknown,1.0
ትምህርትና ስልጠና ማዕከል,unknown,1.0
ትላልቅ ዓለም አቀፍ ኮንፍረንሶችን ያመጣው የኢትዮጵያ ዲፕሎማሲ,unknown,1.0
ጣናነሽ ሁለትን ከጅቡቲ እስከ ባሕር ዳር ድረስ በመኪና እድትጓዝ የተደረገበት ምክንያት ምንድን ነው?,unknown,1.0
ብራዚልን ያስመነደጓት ሉላ ዳሲልቫ,unknown,1.0
ከ18 እና ከ20 አመት  በታች  የአፍሪካ  አትሌቲክስ  ሻምፒዮና  ዛሬ ይጀመራል,unknown,1.0
ጣናነሽ ሁለትን ከጅቡቲ እስከ ባሕር ዳር ድረስ በመኪና እድትጓዝ የተደረገበት ምክንያት ምንድን ነው?,unknown,1.0
ለሽብር ተልዕኮ የተመለመሉ 82 የአይ ኤስ አባላት በቁጥጥር ስር መዋላቸውን የብሔራዊ መረጃና ደኅንነት አገልግሎት አስታወቀ,unknown,1.0
አረንጓዴ አሻራ የምግብ ዋስትናን የምናረጋግጥበት አንዱ መንገድ ነው፡- ርዕሰ መስተዳድር አወል አርባ,unknown,1.0
የኤሌክትሪክ መሰረተ ልማት ስርቆት የማይቋረጥ አገልግሎት ለመስጠት የሚደረገውን ጥረት እያስተጓጎለው ነው፦ የኢትዮጵያ የኤሌክትሪክ አገልግሎት,unknown,1.0
ኢትዮጵያ ሻምፒዮን የሆነችበት 8 ሺህ ኪሎ ሜትር የሚሸፍነው የአፍሪካ አረንጓዴ ግድግዳ,unknown,1.0
ከ2500 በላይ ልዑካን በአዲስ አበባ የአፍሪካ የአየር ንብረት ለውጥ ጉባኤ ላይ ይሳተፋሉ,unknown,1.0
ኢትዮጵያ በስንዴ ልማት ያስመዘገበችው ስኬት የአፍሪካ ዕድገት እውን እንደሚሆን ሁነኛ ማሳያ ነው፦ ኦሊሴጉን ኦባሳንጆ,unknown,1.0
በሶማሊያ ከ30 አመታ በኋላ በተካሄደው ታሪካዊው የእግርኳስ ጨዋታ የኢትዮጵያ አየርመንገድ ሚና ምንድን ነው?,unknown,1.0
ለ1.5 ሚሊዮን ሰዎች የስራ ዕድል የፈጠረውና በ1 ሚሊዮን ሮቦቶች የሚታገዘው አማዞን ኩባንያ,unknown,1.0
በጃፓን እና ህንድ ማቀዝቀዣ ያላቸው ጃኬቶች ፍላጎት ለምን ጨመረ?,unknown,1.0
ከጓሮ አትክልት፣ ከኩሬ አሳ፣ ከበረት ከብቶች የማያጡት የቪየትናም ነዋሪዎች,unknown,1.0
ወላጆች በጉርምስና የእድሜ ክልል ውስጥ ከሚገኙ ልጆች ጋር የሚኖራቸው ግንኙነት ምን መምሰል አለበት?,unknown,1.0
የማንኮራፋት ችግር እንቅልፍ ማሳጣት ብቻ አለመሆኑን ያውቃሉ?,unknown,1.0
ክረምቱን ልጆችዎ የት እንዲያሳልፉ አስበዋል?,unknown,1.0
ከጊዜ በኋላ ያጋጠማትን የአካል ጉዳት እና የእናቷን ኀዘን ተቋቁማ ስኬታማ የሆነችው ወጣት,unknown,1.0
የኢትዮ - አሜሪካ ግንኙነት ከየት ወዴት?,unknown,1.0
"""በክልሉ ያልተቋጨውን ሕግ የማስከበር ሥራ ለማጠናቀቅ መንግሥት ዝግጅት አድርጓል"" – የአማራ ክልል ብልጽግና ፓርቲ ቅርንጫፍ ጽሕፈት ቤት",unknown,1.0
የብልጽግና ፓርቲ ማዕከላዊ ኮሚቴ ስብሰባ ተጀመረ,unknown,1.0
ብልፅግና ፓርቲ በዘላቂ ሰላም ግንባታና አካታች ልማት ስኬቶችን አስመዝግቧል - ምክትል ጠቅላይ ሚኒስትር ተመስገን ጥሩነህ,unknown,1.0
የኢትዮጵያ ባንኮች በአህጉር አቀፍ ደረጃ ተወዳዳሪ ለመሆን መዋሃድ ይጠበቅባቸዋል፡- የምጣኔ ሃብት ባለሙያዎች,unknown,1.0
ከ1.7 ቢሊዮን ብር በላይ የያዙት የፋይናንስ ምርመራ ውጤቶች,unknown,1.0
939 ሚሊዮን ብር ግምታዊ ዋጋ ያላቸው የኮንትሮባንድ ዕቃዎች በቁጥጥር ስር ዋሉ,unknown,1.0
ባለፉት ሥድስት ወራት ከ2 ሚሊዮን በላይ የንግድ ምዝገባ እና ዕድሳት አገልግሎት በኦንላይን ተሰጥቷል፡- የንግድና ቀጠናዊ ትስስር ሚኒስቴር,unknown,1.0
ከአነስተኛ የሩዝ መሸጫ መደብር የተነሳው ግዙፉ ሳምሰንግ ኩባንያ,unknown,1.0
የአየር ብክለትን ለመጠቆም የመጠቀችው 88 ሚሊዮን ዶላር የወጣባት ሳተላይት መጥፋቷ ተሰማ,unknown,1.0
ከቤታቸው በመሥራት እስከ 2 ሺህ ዶላር ተከፋይ መሆን ይቻሉ ወጣቶች,unknown,1.0
የፌደራል ቤቶች ኮርፖሬሽን የ3D ኮንስትራክሽን ቴክኖሎጂን ወደ ኢትዮጵያ ሊያስገባ ነው,unknown,1.0
ኢትዮጵያ በመስከርም ወር ጋዝ ለገበያ ታቀርባለች,unknown,1.0
