content,predicted_language,confidence_score
Trump yizeye guhura na Perezida Kagame na Tshisekedi mu byumweru biri imbere,kin,0.9992076754570007
Imaramatsiko ku ifoto yingabo za RPA yafashwe nyuma yo gufata Umujyi wa Kigali,kin,0.9994431138038635
Impamvu 10 zituma Abanyarwanda badashamadukira umunsi wUbwigenge,kin,0.9995204210281372
Iran yari yivuganye uwahoze ari Umunyamabanga wa Amerika,kin,0.9987867474555969
FDLR na FARDC babanye amezi atandatu mu kigo i Sake - Ubuhamya bwa Ntawiheba wahoze muri CRAP,kin,0.999327540397644
"Ni inkuru nziza ku karere- Uko Macron, Zelensky nabandi bakiriye amasezerano yu Rwanda na RDC",kin,0.9986363053321838
Perezida Trump yakiriye Nduhungirehe na Kayikwamba nyuma yo gusinya amasezarano yamahoro,kin,0.999466598033905
"Ibikorwaremezo byarubatswe, ubuhinzi butezwa imbere: Uko ingengo yimari ya 20242025 yakoreshejwe",kin,0.9985705614089966
U Rwanda rwiteguye gucyura abaturage barwo bari muri Israel na Iran,kin,0.9994558691978455
Imyaka itatu u Rwanda na RDC bidacana uwaka; imwe mu mishinga yabihuzaga yadindiye,kin,0.9993478655815125
Urugamba rwInkotanyi nuko yamenye Perezida Kagame na Rwigema; Umunyamakuru Charles Onyango Obbo,kin,0.9990631937980652
Minisitiri Nduhungirehe yavuze ibisabwa kugira ngo amasezerano yu Rwanda na RDC asinywe,kin,0.9995056390762329
U Buhinde bwavuze aho buhagaze ku bibazo byu Rwanda na RDC,kin,0.9994069337844849
Minisitiri Nduhungirehe yagaragaje igishobora kubangamira ibiganiro byu Rwanda na RDC,kin,0.9995265007019043
Minisitiri Nduhungirehe yagaragaje ko Tshisekedi adakwiye gukerensa imbaraga za FDLR ziyongera,kin,0.9995667338371277
Ingimbi nabangavu 600 bi Kigali bivuje indwara zo mu mutwe mu mwaka umwe,kin,0.9984180927276611
U Rwanda ruhanze amaso uburyo bushya bwo gupimira rimwe indwara eshatu zikunze kuzahaza abagore batwite,kin,0.9995192289352417
U Rwanda rwatangiye gushaka umuti mushya urinda SIDA ufatwa kabiri mu mwaka,kin,0.9995167255401611
U Rwanda rwifuza ko ambulance imwe izajya iha serivisi abantu ibihumbi 30,kin,0.9995704293251038
Ibitaro byamaso byo mu ndege bigiye gutangira gukorera mu Rwanda,kin,0.9995070695877075
U Rwanda rugiye kunguka abaforomo barenga 400 bize ayisumbuye,kin,0.9994414448738098
Abivuriza muri CARAES Ndera barenze ibihumbi 100 (Video),kin,0.9977261424064636
Hazabagwa abongeresha ikibuno namabere: KFH yashyizeho icyumweru cyahariwe Plastic surgery,kin,0.9973612427711487
Icyiciro cya kane cya gahunda yo guteza imbere ubuvuzi cyasize hubatswe ibitaro 4 nibigo nderabuzima 12,kin,0.9995080232620239
Ibiza byumukungugu numucanga byica abantu miliyoni 7 ku mwaka,flr,0.7768126130104065
Ibyo wamenya kuri Parasomnia itera kurota umuntu agenda cyangwa avuga,kin,0.999534010887146
Ibyo wamenya kuri Sleep Apnea ishobora gutuma uhera umwuka usinziriye: Ikiganiro na Dr. Fentahun wo muri Baho,kin,0.9994840621948242
"Ubuhamya bwumugabo wongeresheje indeshyo ye, akava kuri metero 1,71 akagera kuri 1,95",kin,0.9994144439697266
CHUK yahawe Ultrasound igezweho isuzuma ibibazo byose umwana uri mu nda afite,kin,0.9995495676994324
"Umwihariko wa Moods, Coverex, Armour, Innotex na Durex; udukingirizo dukoreshwa cyane mu Rwanda",kin,0.9691758155822754
Impinduka 10 zikomeye zizagaragara kuri iPhone 17,kin,0.9992401599884033
Hahishuwe uko black holes zihuje mu buryo butigeze bubaho mbere,kin,0.9986659288406372
Ibyo wamenya ku miterere ya Samsung Galaxy Z Fold 7 izajya ku isoko vuba,kin,0.999538779258728
Abanyarwanda bafite ubumenyi mu ikoranabuhanga bikubye kane,kin,0.9992388486862183
Umutungo wumuyobozi wa Nvidia warenze miliyari 143 nyuma yo kugurisha imigabane,run,0.9413396716117859
OpenAI igiye gushyira hanze browser izahangana na Google Chrome,kin,0.9987560510635376
Agaciro kikigo Nvidia kageze kuri miliyari 4.000,kin,0.9976887702941895
OpenAI yakajije umutekano mu byikoranabuhanga nyuma yo kugirwa inama na Amerika,kin,0.9992223978042603
Izahabwa numwana ukivuka: Indangamuntu koranabuhanga igeze he?,kin,0.9408788681030273
Perezida Kagame yitabiriye inama ya Broadband Commission,kin,0.9993816614151001
